Ingredient,Rating,Description,Categories,Further information
"flax",Best,"Plant source of linen and edible seeds. Flax seeds and seed oil have antioxidant properties...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/flax
"flaxseed oil",Best,"From seeds of the flax plant; a source of fatty acids, particularly omega-3.","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/flaxseed-oil
"floralozone",Poor,"One of a number of synthetic fragrant components.","Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/floralozone
"Foeniculum vulgare extract",Poor,"See fennel seed extract , fennel oil","Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"folic acid",Good,"Part of the B-vitamin complex; when taken orally, it is a good antioxidant. That benefit has not...","Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/folic-acid
"formaldehyde-releasing preservative",Average,"Common type of preservative found in cosmetics (Source: Contact Dermatitis, December 2000, pages...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/formaldehyde-releasing-preservative
"fragrance",Poor,"One or a blend of volatile and/or fragrant plant oils (or synthetically derived oils) that impart...","Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/fragrance
"frankencense extract",Poor,"Fragrant component used in skin-care products; it can be a skin irritant. There is no research...","Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/frankencense-extract
"free-radical damage",Poor,"Occurrence that takes place at an atomic level and is a complex physiological process. Molecules...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/free-radical-damage
"fructose",Good,"Often called fruit sugar, fructose is a type of sugar composed of glucose. It has water-binding...","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/fructose
"fruit acid",Average,"See sugarcane extract","Miscellaneous",
"Fu ling",Best,"See Poria cocos extract","Anti-Irritants, Antioxidants, Plant Extracts",
"Fucus vesiculosus extract",Best,"See bladderwrack extract","Antioxidants, Plant Extracts",
"fuller's earth",Good,"Mineral substance that is similar to kaolin (a clay). Composed mainly of alumina, silica, iron...","Thickeners/Emulsifiers, Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/fullers-earth
"fumaric acid",Poor,"Naturally occurring acid that has been proven effective for systemic and topical treatment of...","Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/irritants/fumaric-acid
"GABA",Average,"GABA (gamma aminobutyric acid/gamma amino-butyric acid) is an amino acid synthesized in the brain...","Miscellaneous, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/gaba
"galactoarabinan",Good,"Polysaccharide extracted from the western larch tree.","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/galactoarabinan
"galbanum",Poor,"Fragrant substance that, because of its resin and volatile oil content, can be extremely irritating...","Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/galbanum
"gamma linolenic acid (GLA)",Best,"Fatty acid used in cosmetics as an emollient, antioxidant, and cell regulator. GLA is considered to...","Antioxidants, Cell-Communicating Ingredients, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/gamma-linolenic-acid-gla
"Ganoderma lucidum extract",Average,"Mushroom stem extract. There is no research showing it to be effective when used topically on skin...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ganoderma-lucidum-extract
"Gardenia florida extract",Poor,"Flower extract used in cosmetics to impart fragrance; also functions as an antioxidant (Source:...","Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/gardenia-florida-extract
"gelatin",Good,"Protein obtained from plants or animals and used in cosmetics as a thickening agent.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/gelatin
"Gellidiela acerosa extract",Good,"Extract derived from a type of algae.","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/gellidiela-acerosa-extract
"genistein",Best,"Plant component (most often from soy) that is a rich source of antioxidants, though it can also be...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/genistein
"Gentiana lutea (Gentian) root extract",Best,"Active part of the gentian plant, constituents of which are anti-inflammatory and antibacterial...","Anti-Irritants, Plant Extracts, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/gentiana-lutea-gentian-root-extract
"geranium extract",Best,"Extract that can have potent antioxidant properties (Source: Phytomedicine, June 2000, pages...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/geranium-extract
"geranium oil",Poor,"Fragrant oil that can have antimicrobial properties but also can be a skin sensitizer or irritant...","Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/geranium-oil
"Geranium pretense",Poor,"Geranium plant.","Antioxidants, Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/geranium-pretense
"Germaben II",Good,"Trade name for diazolidinyl urea.","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/germaben-ii
"ginger extract",Poor,"Extract from a plant in the Zingiberacae family that has research showing it has anti-inflammatory...","Anti-Irritants, Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/ginger-extract
"ginger oil",Poor,"See ginger extract","Anti-Irritants, Plant Extracts, Irritants",
"Ginkgo biloba leaf extract",Best,"Research shows this potent antioxidant helps improve blood flow. It is often used in anti-cellulite...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ginkgo-biloba-leaf-extract
"ginseng",Average,"Herb in the family Araliaceae, native to Asia. A small number of studies carried out on animals...","Plant Extracts, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/ginseng
"GLA",Best,"See gamma linolenic acid (GLA)","Antioxidants, Cell-Communicating Ingredients, Emollients",
"glabridin",Best,"Main ingredient in licorice extract. It has anti-inflammatory properties. There is research showing...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/glabridin
"gluconolactone",Best,"See polyhydroxy acid","Leave-On Exfoliant",
"glucose",Good,"Monosaccharide that has water-binding properties for skin.","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/glucose
"glucose oxidase",Good,"Glucose oxidase is an enzyme that catalyzes the oxidation of the sugar glucose.","Miscellaneous, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/83e6f131-d91a-4fea-8eef-a34b2de60879
"glucose tyrosinate",Average,"See tyrosine","Miscellaneous",
"glutamic acid",Average,"Amino acid derived from wheat gluten. It can have water-binding properties for skin. There is no...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/glutamic-acid
"glutamine",Best,"Can help improve the barrier function of skin (Source: Journal of Biological Chemistry, July 1998,...","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/glutamine
"glutathione",Best,"Potent antioxidant (Source: Free Radical Research, March 2002, pages 329–340).","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/glutathione
"gluten ingredients",Good,"Gluten ingredients includes several grains or grain-derived ingredients that are potentially problematic when used in cosmetic products meant...","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/gluten-ingredients
"glycereth-26",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glycereth-26
"glycereth-26 phosphate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glycereth-26-phosphate
"glycereth-6 laurate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glycereth-6-laurate
"glycerin",Best,"Also called glycerol or glycerine; it is present in all natural lipids (fats), whether animal or...","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/glycerin
"glycerine",Best,"See glycerin","Skin-Identical/Repairing Ingredients",
"glycerol",Best,"See glycerin","Skin-Identical/Repairing Ingredients",
"glycerol monostearate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glycerol-monostearate
"glycerol triacetate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glycerol-triacetate
"glycerol trioleate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glycerol-trioleate
"glyceryl behanate",Good,"A simple mixture of glycerin and the naturally-occuring fatty acid behenic acid. Glyceryl behenate...","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glyceryl-behanate
"glyceryl cocoate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glyceryl-cocoate
"glyceryl dibehanate",Good,"A complex mixture of glycerin and the naturally-occurring fatty acid behenic acid. Glyceryl...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/glyceryl-dibehanate
"glyceryl dipalmitate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glyceryl-dipalmitate
"glyceryl distearate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glyceryl-distearate
"glyceryl ester",Good,"Large group of ingredients that are composed of fats and oils. At room temperature, the fats are...","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glyceryl-ester
"glyceryl isopalmitate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glyceryl-isopalmitate
"glyceryl isostearate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glyceryl-isostearate
"glyceryl myristate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/glyceryl-myristate
